Sequence ID	Taxonomy	Confidence
169dbea50a36025a68863e4fca04969b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus	0.83
959a1c722326adf384e9e0fca80b7389	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Zongyangia	0.48
f565d8325666aba1e6cef83b8da79255	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus	0.97
fee0d8c656d89f377efc18c9bac7853e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	0.99
f445fa0cb7ba30e79c97431bc8baf51a	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Brotolimicola	0.39
cbc1516b43b1498b4af7a2eba140f2d9	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	1.0
745ebbf4dffe35e75272294d1c3baca0	Root;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	0.91
1dda9ab6944902cda49b6c158a8780cb	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Colidextribacter	0.86
953a76e1e145e828b34ae7163dafc9b4	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium	1.0
f956eeed7e496b365833f8949de9e2b4	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.97
ca67834ba6243b040fc007f9bd986068	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
08c4826cb278af728d9b479f5a4c2e38	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	1.0
9c17606ec26b6bd9683cfafbab4fdabb	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1.0
829fa2fc19918abe316b398a8e2e7ac7	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	1.0
f89b835ac611ba6a9c89058d604b5a5f	Root;Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.99
2d7d69d82d345fa8c320b26671df680c	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter	0.53
6f258b4fb92e0da41afeb5c4c6f7b11f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	1.0
e7848118346dd5fd844fd464f6f6e939	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0.94
34d140dcd8587c28f857c6d87d6d457a	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0.95
d2f6e8baf566ed906e4da281e8f8c776	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis	0.09
b6b11a910eae8859495441d0b83f648c	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Dorea	0.95
257aa8148cdade66606dd2b78348284e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Luoshenia	0.26
dc8e6ffc43cfebfc47857e67a71e6e61	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Colidextribacter	0.35
c14df90fafef7a5b285066d4b530a5db	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Seramator	0.32
b51e0d94aca453eaf3be7f7cc9154bc9	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella	0.83
00b876e33442857aa1582f52a79f4791	Root;Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
54d40867428d164077cc3640e4773313	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas	0.93
114b31ff3dcfb0874ff93f5d6a52b6d9	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus	0.22
ce07f4fb92d24155b690f91d2f845095	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Gehongia	0.19
bbdfff3cd0b606d6752b41388a928301	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	0.16
66330561409db5daafc534210e4134f8	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	1.0
c1f693a83604fe2171b50a422f6ba471	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Dorea	0.85
1256a68ef01622b5b90bb984fa6e2acf	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus	0.6
f14134a9ae30b56b6a4cf0cab928b7fb	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaerofilum	0.46
d9b1adc59b1ae925944f3241ec393215	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus	0.85
bcb176a82706e1cb96858d541f7adf01	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.9
318f6c1b7f6ef63d5071f6eaa56433c1	Root;Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas	1.0
b01a6ec55d2e8f39e12401e64a2749e0	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
1d8987a973cd5fb92c837da96d4ed669	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Huintestinicola	0.19
6c130c94517495a7a15948dc650436a5	Root;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Roseateles	0.99
5c8f57ae41cbddede3150111e487cad4	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.12
f963238b648ef0f29c889aae9eaa6ea3	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	1.0
418c1043f9e49590c693ae50ffc20313	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas	0.96
13be152ecd7f3a4453b7d05580ca35d1	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.15
6fa59ed3ae6ac74459f0bfacb366d50e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.25
f64625ccba942ffe7b9ca80898b4ab5f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella	0.23
2f236f2c2c2ea69e7fefe0ba45150979	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Agathobaculum	1.0
c2d921675301807861333678f2023521	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.94
5d1fd3f485cf95c66369d0fe5f2d04ad	Root;Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Curtanaerobium	0.35
4c718f351c289936f7acf49531b72bc4	Root;Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
7c03ec0b74fc3c134384a74249dc8bde	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus	1.0
7a34000bea5a50267a7e89276b8f92ed	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0.29
409e72548666c9fa38745ada5d4dba68	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerostipes	1.0
48d52ec38c3b2865a34ec378f5698146	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	0.98
e94ff58d9f42e193b10662734352475d	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter	0.92
978fd39062e742939fa3a5273f6cdeb0	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.39
3616feda479285336108d8cd4b5ba7f4	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.96
788254404436b934aaba9b110486725f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	0.8
e79e2a862e779a9fc0fa18b7a07f33dd	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	1.0
b27bcf4035f3965bc588ce1f4e15225c	Root;Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	0.98
7cc81e5bf209d12bdd1953397766bf05	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.39
79d959bc195f9943b0a4db809452a6e3	Root;Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum	0.53
db10623f1ea874f86390eb216569a099	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Hoministercoradaptatus	0.15
793caa484ff764280693c3461ce78e03	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Phocea	0.36
7816304f3e239d5729efaab42e25ef75	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Dorea	0.95
892168ff7bfb4be0fb460f3dae22d72f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Thermocaproicibacter	0.16
bcdb0b94ede23014264240befcc44758	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix	0.38
234eede2b1c87f98433a51f6290c4514	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.66
9b262188a3be657c003363d67cb460ad	Root;Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella	0.99
af808d72cb646ca91df2dd47dfc66a49	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Christensenella	0.42
a0a4ea18a9833cd331e1170b3b02ffeb	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis	0.08
5664f6cd6b959afdb024c9c96106f8be	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobium	0.45
0b07e6b7c55e3371d0cab08552e7f959	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.97
65f81df5778c35d5998de765ca03dc25	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	0.99
bad5719497f2d91ae345ee1cc8959d45	Root;Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1.0
84c469ddc542c3a59bfb3b87781e9437	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospira	1.0
bfda15b6dcca620118990574dff9c3ad	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.95
8208f7b1c17dc1d993e5b6e84e16c06d	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flintibacter	0.24
75c8d1ca42a36100d4a8a9949fba5f3a	Root;Bacteria;Bacillota;Bacillota_incertae_sedis;Negativibacillus	0.08
3c0b087f98f737758596c9186662b87c	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter	1.0
c96574d8035917bfd4f3ecae635aa7bd	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	1.0
f200d5fc691fac162c654926ff7b731e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Agathobaculum	1.0
580b38b16f672954d842667d8b20749f	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0.93
735a0bead9c9a40ad764a310245f412d	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella	0.27
f749019f3a2f1546bcd39157f7a1546e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Muriventricola	0.42
664d56a97af2b655df666fa1a16ef8bc	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
aa05f5e65e3d1e69211d6490e1e40560	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.53
22156e6d21ea8f4c01c2bbe1b7bb68da	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longicatena	0.45
8e9eac631907a9ab8042e1f6b72c1b8b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproiciproducens	0.24
2386e2fffbc5e0dbd651cc6001b7a298	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1.0
b5575b5665064f2b4a3cf4769b6dbda4	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	0.6
6d07f1bedec4adffb910a85bd7d3bd89	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	1.0
c36383916d947e3810ebfe5bebb02ff7	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	1.0
b4d52399cc85896862b2113434ed771c	Root;Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella	0.98
4b2609100571a2ac63fad990ae496905	Root;Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia	0.34
83b6beb387ef2e668d3c8aa8543621b4	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.66
b22ad900c4beb930af648c5ea001bea8	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus	0.59
a6ea4792afc178f805a8a25dbdec565f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flintibacter	0.15
0f6185b0eb3d8c99a4b3dba220f325f1	Root;Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia	0.96
ec50c6bb386b8f41208e54731b3a5807	Root;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium	0.97
0e873b45c7c1e71703a8affa09af31ea	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas	1.0
bb4f72812896ef446f8bd9d743ef07ed	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus	0.9
b11409c36d6c7ef81c7776ba1bb2eef4	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	0.48
8ffa4a95c9fffb189063304779cb9f42	Root;Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila	0.98
e09758e7e3495996b537e5d80b8f0487	Root;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	0.87
60b0ac5ba85af46e82e89bda95b1c0ec	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	0.9
3c4604c54ca999fa2ec5d0e68a66bdcb	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus	0.18
5a95eca418115626308852fe62107c00	Root;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.8
7a3d8216b5b671e68d7231edaac46cee	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	1.0
d40305b8a0e63338bea1b26dd3f61ce7	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.34
70e7a7e875e625a1a1e6ac43b94cab59	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0.57
85ac9f88715506e8aeaebe702f29a6cc	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis	0.1
cfaa1c7cf1e458f51de6687eebfe0e1f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	0.92
aa714f63f1562cf377e85678fc3ab6d2	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella	0.24
cb3c7ed63d573c5f627c2413214f5a2c	Root;Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia	1.0
456c5e2256d475a854fb07e3efe127ef	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Frisingicoccus	0.85
12f0e2867b00cb094293839f074a063b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobium	0.68
15cfcfac6e833d5e8a1b5f0ea88d4b8d	Root;Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia	0.94
22ec92983335ef7d68b7bb3f17fa61df	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.63
f6761d6033fcd550b9fd400deb9a7cd5	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0.6
357c2684b88ef9ad1cb801eee0b80f0a	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Gehongia	0.32
fee4af4751e969658b593afd246555aa	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Beduinibacterium	0.54
acbd8e96afca0e8d6a34ccace34bce06	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Muricoprocola	0.78
72fa8990738e087541ced4ca03a5d0ad	Root;Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia	1.0
a11d57fd7c8c6c4854d163c57609e771	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fumia	0.53
5302f1e0a7e8dd36e24bfd690c395caf	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_incertae_sedis_XIII;Aminipila	0.54
e3eab1c87a4832ebc86d51ad5165ed28	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Huintestinicola	0.16
db5eecd5b51e043c277d7d3506f33e69	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	1.0
18b7e6fedc3c1c45b209240db07230b4	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Colidextribacter	0.5
67f2f83d9ccc51432a12a60aa4270cbd	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	0.88
d7a1e988a1f7dd688acb23d53678913b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.41
33960a89defe90a1beae487e613947b5	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.66
73ea8f839b535a385fac1cf9fe29545e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum	0.91
30ffc090b21f02f25e3e1b3986d1f28e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter	0.88
e67f15c154a76deb8955c10dafb25430	Root;Bacteria;Bacillota;Bacillota_incertae_sedis;Capillibacterium	0.11
2eb23b342c677b81b2b6ed23dd62e86c	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.41
1b96ea72e080ade8f3c06cd1470e1cb7	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcoides	1.0
badf50a20b4528254e32cd6745da7c33	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor	0.98
d6be9556d92688ea1be079eb130d0741	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.26
214bdcf0c3724df2eaa2c1a9b47ccd7d	Root;Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	0.65
bf7ab7b716998d18d3072b4e147a52cc	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Christensenellaceae;Guopingia	0.18
e46a0c785733aad88a944840da444346	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1.0
